Wall time,Step,Value
1683168079.6257644,168,225.0
1683168096.227463,475,58.0
1683168099.5343149,537,105.0
1683168102.223062,587,153.0
1683168146.5704892,1437,177.0
1683168192.3912292,2308,434.0
1683168196.2345495,2390,594.0
1683168200.8792193,2487,594.0
1683168304.989076,4493,434.0
1683168339.550988,5135,273.0
1683168422.8945658,6712,105.0
1683168463.308779,7464,297.0
1683168560.175408,9261,225.0
1683168571.356901,9469,44.0
1683168621.2627993,10400,201.0
1683168647.7668865,10906,249.0
1683168651.0369027,10967,273.0
1683168705.1497943,11970,153.0
1683168829.0350602,14295,81.0
1683168849.5010753,14669,129.0
1683168855.34859,14780,201.0
1683168925.8078396,16117,44.0
1683169000.0401387,17544,297.0
1683169109.7406855,19641,225.0
1683169131.4568136,20063,273.0
1683169156.8024719,20540,201.0
1683169158.9027815,20579,273.0
1683169173.930066,20856,297.0
1683169199.059549,21320,201.0
1683169252.5761209,22331,273.0
1683169308.253502,23362,722.0
1683169325.4821131,23702,594.0
1683169349.6197164,24148,225.0
1683169359.0710416,24323,242.0
1683169380.7858353,24728,81.0
1683169408.636135,25254,417.0
1683169604.2097733,28997,594.0
1683169648.3494887,29830,898.0
1683169689.6969593,30613,249.0
1683169694.8260863,30707,153.0
1683169734.347574,31444,693.0
1683169760.478481,31937,465.0
1683169787.3279414,32436,594.0
1683169827.6521015,33182,434.0
1683169857.5967379,33750,249.0
1683169859.3009853,33786,249.0
1683169861.9291058,33840,105.0
1683169863.922483,33877,249.0
1683169898.5396018,34526,177.0
1683169971.5472677,35954,129.0
1683170008.3433244,36630,44.0
1683170009.97883,36660,177.0
1683170069.8950021,37765,609.0
1683170075.2193875,37877,594.0
1683170120.3410814,38721,105.0
1683170126.8911698,38841,434.0
1683170170.3908865,39703,434.0
1683170255.2120602,41272,594.0
1683170319.3899336,42469,434.0
1683170382.093281,43640,434.0
1683170385.9772253,43712,594.0
1683170401.2267835,43994,201.0
1683170412.4935615,44201,273.0
1683170415.221594,44252,434.0
1683170454.5367386,44965,434.0
1683170477.1922917,45373,105.0
1683170529.5706475,46335,177.0
1683170533.905881,46414,594.0
1683170606.0202718,47745,153.0
1683170617.9548316,47971,105.0
1683170629.4944484,48182,861.0
1683170684.2712915,49273,105.0
1683170766.6898003,50820,44.0
1683170783.7123306,51135,105.0
1683170788.7624576,51228,44.0
1683170818.3519528,51799,201.0
1683170878.605933,52907,81.0
1683170888.700565,53093,225.0
1683170929.822675,53863,225.0
1683171071.1661367,56522,225.0
