Wall time,Step,Value
1683361658.891951,43,44.0
1683361660.6227055,95,366.0
1683361662.2308059,168,775.0
1683361664.8545396,230,149.0
1683361664.9716928,235,184.0
1683361665.784884,274,437.0
1683361666.4812326,311,626.0
1683361666.6287239,319,682.0
1683361670.3055305,475,722.0
1683361671.6492677,537,722.0
1683361672.7788188,580,722.0
1683361672.9586427,587,731.0
1683361674.9865851,635,898.0
1683361675.3017104,648,898.0
1683361676.9494395,715,898.0
1683361679.6512644,809,898.0
1683361685.317993,1015,1362.0
1683361686.601268,1067,317.0
1683361693.5342584,1334,373.0
1683361693.6185966,1338,401.0
1683361694.8099048,1386,614.0
1683361694.9726403,1393,663.0
1683361696.8499906,1437,270.0
1683361703.52215,1692,596.0
1683361704.6298969,1735,803.0
1683361704.7287934,1738,824.0
1683361708.8982356,1878,156.0
1683361709.6977675,1918,407.0
1683361713.2326467,2037,812.0
1683361716.9121823,2200,524.0
1683361719.2758465,2263,191.0
1683361720.3333795,2308,226.0
1683361722.3811083,2390,693.0
1683361723.9749846,2437,898.0
1683361725.107811,2486,1152.0
1683361725.1339579,2487,1159.0
1683361725.4282644,2499,1243.0
1683361731.1743495,2686,722.0
1683361732.3775501,2741,48.0
1683361740.748305,3039,621.0
1683361745.5242393,3231,798.0
1683361745.970034,3247,72.0
1683361747.5517511,3306,456.0
1683361756.5746346,3619,142.0
1683361756.6155813,3621,156.0
1683361757.748619,3671,506.0
1683361759.6343262,3742,897.0
1683361762.5585494,3815,128.0
1683361762.7506852,3822,177.0
1683361765.5801218,3929,594.0
1683361766.3469496,3957,79.0
1683361768.8938284,4037,434.0
1683361776.584142,4318,682.0
1683361779.5231855,4401,149.0
1683361781.7355006,4493,533.0
1683361782.106147,4510,594.0
1683361786.864296,4677,100.0
1683361789.6062398,4789,163.0
1683361794.5325773,4972,635.0
1683361798.5526242,5107,86.0
1683361799.1564837,5135,246.0
1683361805.6131592,5346,728.0
1683361805.9428535,5360,820.0
1683361811.9105,5550,149.0
1683361815.3586962,5680,53.0
1683361816.3817863,5724,359.0
1683361819.5655282,5809,756.0
1683361821.0464506,5865,1103.0
1683361821.2127833,5872,1152.0
1683361822.2621408,5908,191.0
1683361824.6989768,5991,86.0
1683361830.970857,6201,608.0
1683361831.5425036,6220,58.0
1683361833.6392508,6290,437.0
1683361841.57983,6575,478.0
1683361843.1344633,6604,594.0
1683361845.3159623,6700,1107.0
1683361845.6563513,6712,72.0
1683361849.9132671,6855,680.0
1683361852.600618,6967,1404.0
1683361858.232798,7156,303.0
1683361864.8396072,7383,997.0
1683361867.2134614,7461,149.0
1683361867.2759724,7464,170.0
1683361868.3058975,7512,466.0
1683361876.2756455,7789,184.0
1683361876.5161588,7799,254.0
1683361877.9076378,7834,434.0
1683361881.2513127,7992,638.0
1683361884.0563455,8067,470.0
1683361886.984363,8181,436.0
1683361889.0498347,8222,656.0
1683361892.2063558,8364,878.0
1683361892.515595,8378,898.0
1683361896.2006912,8499,476.0
1683361896.4994662,8509,546.0
1683361899.7518198,8602,722.0
1683361906.8539371,8879,212.0
1683361908.3721817,8936,539.0
1683361909.8077974,8994,898.0
1683361917.8832507,9261,434.0
1683361923.9006019,9469,1320.0
1683361926.2136807,9555,494.0
1683361926.5763338,9568,585.0
1683361930.2910159,9699,633.0
1683361934.822765,9844,435.0
