Wall time,Step,Value
1683376995.106297,168,594.0
1683377004.35641,475,722.0
1683377005.8421187,537,184.0
1683377007.0232253,587,534.0
1683377055.5574594,2308,1074.0
1683377060.4365911,2487,722.0
1683377118.3963223,4493,296.0
1683377136.761811,5135,871.0
1683377175.9428966,6712,1188.0
1683377193.7387927,7464,359.0
1683377236.779686,9261,580.0
1683377241.8206873,9469,436.0
1683377275.5573895,10906,282.0
1683377276.7905102,10967,659.0
1683377300.7997575,11970,86.0
1683377356.7584808,14295,310.0
1683377367.7801676,14780,337.0
1683377400.265321,16117,594.0
1683377488.980865,19641,722.0
1683377499.6070538,20063,226.0
1683377511.6776476,20540,582.0
1683377512.5031962,20579,663.0
1683377519.743542,20856,79.0
1683377530.757083,21320,594.0
1683377555.7102242,22331,121.0
1683377589.580399,23702,312.0
1683377600.4101803,24148,449.0
1683377604.807719,24323,275.0
1683377615.0576363,24728,338.0
1683377628.6478853,25254,100.0
1683377743.8163524,29830,205.0
1683377763.8940938,30613,601.0
1683377765.9716828,30707,72.0
1683377797.0037577,31937,560.0
1683377809.9991457,32436,121.0
1683377828.2209008,33182,661.0
1683377842.639754,33750,212.0
1683377843.4226394,33786,163.0
1683377845.36693,33840,261.0
1683377862.5906425,34526,142.0
1683377899.2790065,35954,226.0
1683377917.265042,36630,722.0
1683377917.9387093,36660,758.0
1683377945.7680748,37765,72.0
1683377948.9400804,37877,263.0
1683377970.5244534,38721,692.0
1683377974.09042,38841,40.0
1683378036.8011262,41272,86.0
1683378098.6767652,43640,609.0
1683378107.3186266,43994,48.0
1683378113.5172274,44201,594.0
1683378143.3125741,45373,48.0
1683378168.955734,46335,212.0
1683378171.4904108,46414,184.0
1683378206.3058548,47745,598.0
1683378217.7713487,48182,72.0
1683378342.9868622,52907,128.0
1683378369.3337827,53863,792.0
1683378441.4025319,56522,439.0
1683378500.9140542,58747,42.0
1683378539.7408412,60180,594.0
1683378548.3935316,60476,899.0
1683378594.3563845,62140,898.0
1683378638.4646945,63672,434.0
1683378662.3234048,64522,107.0
1683378694.5608764,65644,345.0
1683378726.5098612,66788,114.0
1683378733.6370363,67022,1028.0
1683378745.6509216,67441,352.0
1683378795.4549832,69186,434.0
1683378838.863736,70657,58.0
1683378861.4550922,71429,581.0
1683378874.7255309,71907,434.0
1683378875.9610782,71958,594.0
1683378878.0985107,72013,642.0
1683378907.2147589,73010,571.0
