Wall time,Step,Value
1682696691.0856435,168,629.0
1682696720.3692133,475,1011.0
1682696725.83999,537,212.0
1682696730.388346,587,439.0
1682696896.6100974,2308,1069.0
1682696914.6348937,2487,594.0
1682697122.9991586,4493,990.0
1682697190.3930397,5135,1094.0
1682697359.314366,6712,594.0
1682697440.3408632,7464,594.0
1682697636.2783248,9261,855.0
1682697658.5403059,9469,434.0
1682697812.9071543,10906,986.0
1682697819.2906463,10967,898.0
1682697925.4603207,11970,702.0
1682698172.8195517,14295,434.0
1682698224.5912683,14780,655.0
1682698370.8450398,16117,856.0
1682698744.243402,19641,156.0
1682698788.2220347,20063,884.0
1682698837.8291497,20540,912.0
1682698841.7941904,20579,856.0
1682698870.5309432,20856,576.0
1682698918.9581754,21320,212.0
1682699023.7271314,22331,48.0
1682699165.6975527,23702,184.0
1682699212.280449,24148,324.0
1682699230.8735402,24323,324.0
1682699273.3278146,24728,702.0
1682699328.2056942,25254,492.0
1682699799.8729277,29830,408.0
1682699877.755662,30613,268.0
1682699886.8539536,30707,884.0
1682700007.4194386,31937,1752.0
1682700058.3833237,32436,604.0
1682700136.0689354,33182,594.0
1682700196.5684292,33750,100.0
1682700200.3458226,33786,1108.0
1682700206.34959,33840,604.0
1682700277.4332297,34526,716.0
1682700425.7395914,35954,296.0
1682700494.7828624,36630,240.0
1682700497.696806,36660,1080.0
1682700607.1415367,37765,184.0
1682700618.1419606,37877,492.0
1682700701.0261714,38721,156.0
1682700713.050023,38841,688.0
1682700952.122209,41272,1528.0
1682701191.4663754,43640,940.0
1682701227.418732,43994,240.0
1682701248.920943,44201,1164.0
1682701384.6904285,45373,72.0
1682701482.494738,46335,492.0
1682701490.6932845,46414,156.0
1682701625.1998172,47745,352.0
1682701669.2291648,48182,1612.0
1682702246.4134262,52907,1192.0
1682702347.3367739,53863,744.0
1682702617.4813116,56522,716.0
1682702833.919552,58747,296.0
1682702980.0947511,60180,1024.0
1682703009.233529,60476,296.0
1682703172.9321043,62140,380.0
1682703328.6581252,63672,48.0
1682703414.4347548,64522,884.0
1682703527.834285,65644,1052.0
1682703639.387102,66788,240.0
1682703662.2603817,67022,1052.0
1682703702.8712094,67441,604.0
1682703870.5824943,69186,492.0
1682704012.3178544,70657,352.0
1682704089.8638885,71429,156.0
1682704139.831758,71907,212.0
1682704144.7940857,71958,492.0
1682704150.8445046,72013,884.0
1682704250.3121939,73010,100.0
1682704750.5721107,78209,856.0
1682704818.713009,78921,604.0
1682704960.0665646,80391,996.0
1682704981.9695017,80614,352.0
1682705375.7175348,84602,576.0
1682705424.9889464,85090,212.0
1682705593.8993516,86781,1136.0
1682705602.4299772,86866,72.0
1682705616.4296668,87009,632.0
1682705652.770875,87394,828.0
1682705724.7198503,88138,492.0
1682705776.325079,88675,800.0
1682705840.9385648,89348,324.0
1682705842.5489693,89364,772.0
1682705901.19172,89974,828.0
1682705930.195127,90238,1080.0
1682706068.637546,91648,716.0
1682706114.4730475,92121,1080.0
1682706245.3161824,93472,632.0
1682706286.7458012,93902,1136.0
1682706429.6481915,95378,184.0
1682706439.9659982,95481,940.0
1682706518.6770995,96302,996.0
1682706787.199739,98475,632.0
1682706942.3850183,99885,1138.0
1682707037.1072462,100859,520.0
1682707083.4204836,101336,688.0
1682707142.7470205,101944,520.0
1682707245.6466908,103002,184.0
1682707374.8463588,104335,128.0
1682707429.9088633,104897,296.0
1682707432.634894,104925,380.0
1682707515.664189,105775,240.0
1682707750.9613554,107838,491.0
1682707828.4498944,108587,631.0
1682708105.1732898,111324,491.0
1682708143.429781,111699,380.0
1682708265.4594896,112903,156.0
1682708486.6841314,115097,519.0
1682708529.4986968,115519,687.0
1682708649.9214292,116712,603.0
1682708688.9316008,117048,547.0
1682708749.0197928,117636,296.0
1682708804.9796252,118191,100.0
1682709099.463678,121193,519.0
1682709112.8161826,121333,100.0
1682709119.7667358,121404,603.0
1682709162.904516,121836,352.0
1682709200.765317,122206,491.0
1682709244.1688213,122635,435.0
1682709512.518294,125291,463.0
1682710002.4370778,130072,659.0
1682710167.3341563,131681,575.0
1682710187.0402892,131877,380.0
1682710451.9870315,134377,48.0
1682710454.6699076,134390,408.0
1682710468.0747612,134475,575.0
1682710519.826015,134878,240.0
1682710593.4234474,135616,491.0
1682710699.8748298,136674,296.0
1682710700.4316993,136679,435.0
1682710737.7402582,137056,72.0
1682710976.6918974,139404,128.0
1682710981.3789186,139450,659.0
1682711034.4762208,139976,128.0
1682711042.901037,140056,184.0
1682711113.2840674,140751,898.0
1682711137.4592183,140990,434.0
1682711161.6192782,141223,240.0
1682711331.9177787,142893,296.0
1682711473.4603415,144227,72.0
1682711479.3943288,144286,268.0
1682711686.2843082,146313,491.0
1682711725.6537282,146697,352.0
1682711805.8490815,147492,48.0
1682711926.1990147,148674,380.0
1682712137.3360736,150759,491.0
1682712147.9851544,150864,519.0
1682712166.343872,151043,440.0
1682712189.8791695,151277,440.0
1682712345.962071,152767,659.0
1682712593.6267617,155190,380.0
1682712736.2149715,156653,547.0
1682712784.1219113,157131,128.0
1682712835.0446672,157624,100.0
1682713102.251138,160253,184.0
1682713355.160945,162790,575.0
1682713405.1102962,163297,240.0
1682713536.1387167,164623,240.0
1682713617.969006,165464,463.0
1682713630.6001136,165598,575.0
1682713650.3693855,165801,440.0
1682713794.9202259,167235,547.0
1682713810.3889675,167397,704.0
1682713835.109367,167645,408.0
1682713999.3992283,169324,100.0
1682714062.0629733,169964,519.0
1682714084.6151776,170189,296.0
1682714256.1210501,171660,100.0
1682714257.1318662,171670,380.0
1682714388.348394,172973,704.0
1682714400.679125,173094,463.0
1682714446.794487,173557,352.0
1682714557.0753758,174648,324.0
1682714870.0820944,177778,575.0
1682714910.9956737,178193,547.0
1682714957.6195047,178662,575.0
1682714961.4416056,178702,268.0
1682715020.4614472,179197,547.0
1682715138.2752388,180316,575.0
1682715213.556283,181050,48.0
1682715219.4056795,181109,240.0
1682715319.8133245,182088,687.0
1682715408.7509701,182950,100.0
1682715441.9531503,183272,380.0
1682715474.801506,183599,72.0
1682715622.6851814,185059,184.0
1682715742.4820898,186233,296.0
1682715829.710554,187091,547.0
1682715834.6452067,187141,491.0
1682715916.9301205,187944,435.0
1682716076.1175172,189323,440.0
1682716179.9184496,190339,491.0
1682716371.3175163,192216,631.0
1682716685.8789115,195298,324.0
1682716696.0478444,195401,296.0
1682716717.516161,195620,575.0
1682716826.1195235,196727,380.0
1682717040.4752903,198852,184.0
1682717083.0684974,199288,704.0
1682717174.2185988,200212,408.0
1682717291.0356035,201402,240.0
1682717342.6268969,201921,212.0
1682717806.3535485,206111,324.0
1682717901.558476,207051,435.0
1682717956.2123191,207610,72.0
1682718071.4936237,208749,631.0
1682718090.3679662,208935,48.0
1682718197.3579986,209989,435.0
1682718217.1266918,210192,296.0
1682718506.4421911,213100,184.0
1682718585.1832218,213868,547.0
1682718739.938467,215331,48.0
1682718804.566622,215954,704.0
1682718812.214111,216024,491.0
1682718815.0853276,216053,575.0
1682718992.9734645,217868,440.0
1682719156.3857105,219515,687.0
1682719190.1264865,219862,240.0
1682719230.4423344,220266,603.0
1682719328.9155502,221271,380.0
1682719550.622167,223538,491.0
1682719694.5447059,224846,704.0
1682719838.597553,226248,659.0
1682719848.5146408,226346,491.0
1682719849.7147071,226358,128.0
1682719955.4922314,227412,491.0
1682720030.2134244,228172,659.0
1682720070.9555633,228584,547.0
1682720071.239189,228587,631.0
1682720141.6128945,229291,687.0
1682720318.939245,231024,440.0
1682720425.3131506,232061,380.0
1682720606.4885762,233810,128.0
1682720716.3357837,234918,547.0
1682720745.675311,235216,184.0
1682721035.0228703,238048,128.0
1682721091.0472305,238616,704.0
1682721162.8734663,239339,575.0
1682721237.343873,240095,631.0
1682721378.183021,241532,128.0
1682721388.0781088,241630,659.0
1682721441.1980207,242065,463.0
1682721476.953487,242342,240.0
1682721740.2739131,244901,519.0
1682721858.4756525,246051,687.0
1682722007.041509,247508,704.0
1682722156.9758077,248961,575.0
1682722230.5741248,249677,268.0
1682722266.6527157,250025,519.0
1682722353.1743896,250870,184.0
1682722403.9869137,251320,408.0
1682722453.082842,251797,631.0
1682722481.2865398,252067,212.0
1682722622.1316187,253440,72.0
1682722723.4481382,254423,631.0
1682722741.7222323,254602,547.0
1682722981.830873,256946,659.0
1682723111.4431555,258208,352.0
1682723126.038161,258351,687.0
1682723204.4367168,259112,184.0
1682723400.426911,260954,72.0
1682723560.7202582,262513,48.0
1682723569.2864957,262599,268.0
1682723596.2867315,262854,128.0
1682723708.469627,263948,184.0
1682723736.102952,264213,324.0
1682723812.693661,264961,156.0
1682723844.955978,265273,156.0
1682723878.4144025,265602,603.0
1682723887.8823113,265695,324.0
1682724105.0414598,267898,128.0
1682724182.5480156,268688,408.0
1682724373.4841726,270594,603.0
1682724399.9362898,270862,128.0
1682724419.0443697,271053,380.0
1682724519.978983,272074,547.0
1682724548.832101,272345,156.0
1682724591.2564552,272752,603.0
1682724610.053955,272939,48.0
1682724863.2198784,275403,575.0
1682724875.6368206,275527,435.0
1682725072.5180142,277440,128.0
1682725227.5015712,278880,408.0
1682725244.1444914,279049,48.0
1682725286.5109787,279482,491.0
1682725426.4538572,280905,324.0
1682725463.3742924,281278,547.0
1682725597.7922683,282651,435.0
1682725701.1796408,283707,156.0
1682725760.3623996,284304,128.0
1682725818.3237185,284887,435.0
1682725882.9556298,285538,440.0
1682726046.1930132,287144,296.0
1682726207.1245584,288761,687.0
1682726267.4394388,289365,156.0
1682726411.4915652,290817,48.0
1682726717.044457,293827,575.0
1682726734.2599192,294002,408.0
1682726872.047048,295409,463.0
1682726888.0458837,295574,704.0
1682727030.1433437,296882,240.0
1682727174.7160978,298352,603.0
1682727254.9006891,299169,212.0
1682727286.0593712,299486,352.0
1682727419.6683,300834,240.0
1682727519.097449,301830,440.0
1682727578.8993032,302432,547.0
1682727585.0766025,302495,156.0
1682727736.7732246,304024,704.0
1682728184.4398975,308412,547.0
1682728230.2751606,308856,603.0
1682728246.2678041,309010,547.0
1682728321.5299559,309748,128.0
1682728338.837991,309917,463.0
1682728341.777793,309945,519.0
1682728515.0902216,311640,659.0
1682728628.464533,312756,603.0
1682728790.695373,314292,659.0
1682728880.0233023,315170,491.0
1682729159.7613144,318007,575.0
1682729198.9695048,318410,240.0
1682729239.8242311,318829,324.0
1682729267.5420473,319112,240.0
1682729299.5688348,319436,547.0
1682729349.2925258,319942,184.0
1682729382.9573054,320283,268.0
1682729439.7799518,320859,380.0
1682729490.7319264,321384,491.0
1682729590.103046,322389,268.0
1682729655.2463424,323050,547.0
1682729782.360255,324305,48.0
1682729820.6144,324690,603.0
1682729857.5500507,325063,156.0
1682730250.227631,329051,435.0
1682730347.55586,330048,659.0
1682730375.2756248,330332,603.0
1682730437.1788096,330970,296.0
1682730505.2852373,331639,100.0
1682730537.8201525,331950,72.0
1682730540.5762246,331977,100.0
1682730678.002998,333258,296.0
1682730793.8947012,334449,156.0
1682730796.7062047,334478,240.0
1682730985.0840046,336393,687.0
1682731018.8485677,336725,519.0
1682731220.474752,338709,48.0
1682731223.2473605,338737,100.0
1682731239.2694962,338891,48.0
1682731534.5935977,341762,352.0
1682731669.8535752,343066,440.0
1682731821.9120288,344504,659.0
1682731824.939628,344534,72.0
1682731843.9303424,344722,240.0
1682731901.3925557,345280,547.0
1682732083.2789962,347112,440.0
1682732188.3974097,348185,631.0
