Wall time,Step,Value
1683446419.0761707,168,184.0
1683446442.6863217,475,72.0
1683446447.3848495,537,398.0
1683446451.2312174,587,980.0
1683446519.4378579,1437,545.0
1683446543.1590705,1738,240.0
1683446587.719323,2308,594.0
1683446593.9883358,2390,212.0
1683446601.6990573,2487,1138.0
1683446661.2863688,3247,100.0
1683446758.4237735,4493,722.0
1683446808.3125293,5135,184.0
1683446870.7094305,5908,678.0
1683446933.880402,6712,594.0
1683446953.8186874,6967,435.0
1683446993.1763291,7464,722.0
1683447020.0796425,7799,128.0
1683447023.4060392,7834,100.0
1683447081.3568323,8499,594.0
1683447144.4342215,9261,268.0
1683447161.4329,9469,48.0
1683447236.1667461,10400,722.0
1683447275.2783298,10906,594.0
1683447279.8293245,10967,434.0
1683447323.75976,11533,594.0
1683447357.1050274,11970,704.0
1683447427.607887,12878,128.0
1683447541.7791073,14295,594.0
1683447572.8962326,14669,894.0
1683447582.030803,14780,128.0
1683447689.497806,16117,296.0
1683447749.6443512,16858,268.0
1683447787.3499718,17318,594.0
1683447807.1774514,17544,296.0
1683447992.0368433,19641,594.0
1683448027.0985947,20063,633.0
1683448066.589859,20540,787.0
1683448069.6986687,20579,128.0
1683448092.600032,20856,722.0
1683448116.2779572,21145,268.0
1683448130.5344248,21320,594.0
1683448213.1992877,22331,100.0
1683448215.3733482,22359,48.0
1683448290.8233836,23287,808.0
1683448296.7645397,23362,100.0
1683448302.4442444,23428,734.0
1683448322.0293627,23671,594.0
1683448324.4882534,23702,100.0
1683448360.590006,24148,691.0
1683448374.8976684,24323,436.0
1683448407.5321352,24728,594.0
1683448424.932739,24935,380.0
1683448451.7361717,25254,512.0
1683448576.1716971,26798,184.0
1683448753.508986,28971,492.0
1683448755.5877905,28997,128.0
1683448824.1094024,29830,984.0
1683448887.2970135,30613,434.0
1683448894.697899,30707,1072.0
1683448953.8732815,31444,268.0
1683448993.8322449,31937,866.0
1683449034.654848,32436,696.0
1683449096.584003,33182,1271.0
1683449142.9349597,33738,324.0
1683449143.9052925,33750,434.0
1683449146.7875102,33786,268.0
1683449151.5662909,33840,594.0
1683449154.605224,33877,840.0
1683449194.695747,34363,594.0
1683449208.1194556,34526,434.0
1683449214.026906,34600,352.0
1683449287.279225,35484,642.0
1683449326.4674447,35954,48.0
1683449333.6917245,36038,463.0
1683449383.2630556,36630,1137.0
1683449385.6638823,36660,594.0
1683449401.3935525,36851,594.0
1683449454.3072553,37490,128.0
1683449477.1889095,37765,296.0
1683449486.832394,37877,72.0
1683449556.3190749,38721,184.0
1683449566.612522,38841,296.0
1683449604.1584482,39297,1270.0
1683449637.8621616,39703,459.0
1683449728.985741,40794,352.0
1683449768.438745,41272,491.0
1683449840.011852,42135,967.0
1683449867.8433616,42469,463.0
1683449965.0682418,43640,711.0
1683449970.9044487,43712,296.0
1683449994.4154408,43994,435.0
1683450012.141859,44201,435.0
1683450016.3336802,44252,722.0
1683450020.5824082,44305,435.0
1683450063.7149022,44817,156.0
1683450075.8489163,44965,352.0
1683450109.8109117,45373,434.0
1683450190.0715435,46335,883.0
1683450196.8174717,46414,594.0
1683450306.4913583,47745,100.0
1683450324.9580872,47971,268.0
1683450342.2030034,48182,100.0
1683450432.8440804,49273,941.0
1683450497.0162969,50057,750.0
1683450559.4756994,50820,434.0
1683450584.7076263,51135,434.0
1683450592.4636889,51228,603.0
1683450639.0785763,51799,772.0
1683450730.1589713,52907,72.0
1683450745.4390275,53093,296.0
1683450776.1287398,53469,184.0
1683450808.0589066,53863,594.0
1683451010.6082947,56338,855.0
1683451025.480256,56522,100.0
1683451050.3192105,56821,715.0
1683451210.1668491,58720,704.0
1683451212.402141,58747,48.0
1683451328.3109126,60180,100.0
1683451328.783462,60186,268.0
1683451352.4121504,60476,408.0
1683451487.0099864,62140,380.0
1683451612.631887,63672,240.0
1683451682.0852284,64522,156.0
1683451773.8941445,65644,268.0
1683451867.031699,66788,296.0
1683451886.589661,67022,296.0
1683451921.052378,67441,603.0
1683452063.2859874,69186,659.0
1683452106.0231886,69720,48.0
1683452123.4768348,69916,435.0
1683452169.6460044,70463,440.0
1683452178.706347,70581,128.0
1683452185.0501363,70657,72.0
1683452212.0830226,70997,128.0
1683452248.9109752,71429,547.0
1683452289.601134,71907,156.0
1683452293.708719,71958,128.0
1683452298.6934218,72013,212.0
1683452360.8904302,72724,491.0
1683452397.0945349,73010,491.0
1683452610.1387997,75488,547.0
1683452671.4440298,76219,659.0
1683452788.5931077,76907,268.0
1683452954.2428668,78209,100.0
1683453017.7877965,78921,519.0
1683453022.3179939,78974,547.0
1683453026.1382835,79006,704.0
1683453140.7094724,80391,408.0
1683453160.8674672,80614,100.0
1683453193.8091016,80997,603.0
1683453195.8894417,81016,435.0
1683453427.34626,83268,184.0
1683453543.891321,84410,324.0
1683453561.5108523,84602,48.0
1683453610.3737152,85090,575.0
1683453731.8856592,86015,440.0
1683453804.347222,86781,240.0
1683453814.7934449,86866,435.0
1683453828.6351817,87009,100.0
1683453896.164468,87394,659.0
1683453977.9791687,88138,352.0
1683454038.0633507,88675,100.0
1683454117.0298407,89348,435.0
1683454118.5275965,89364,156.0
1683454190.614624,89974,463.0
1683454218.8210976,90238,48.0
1683454339.4098656,91301,128.0
1683454375.034609,91625,440.0
1683454378.6995807,91648,380.0
1683454429.0796983,92121,491.0
1683454598.8942525,93472,100.0
1683454646.690086,93902,463.0
1683454775.556376,95058,100.0
1683454806.5215333,95378,324.0
1683454816.3168142,95481,296.0
1683454904.4880435,96302,156.0
1683455077.2871428,97987,352.0
1683455126.3033936,98475,352.0
1683455183.8593512,99056,48.0
1683455269.3757348,99885,704.0
1683455368.6004508,100859,408.0
1683455389.7125745,101073,184.0
1683455413.6225939,101336,268.0
1683455470.9835215,101924,324.0
1683455472.7653503,101944,156.0
1683455557.7274117,102881,491.0
1683455560.2354705,102912,631.0
1683455564.6855927,102967,704.0
1683455567.9830856,103002,268.0
1683455655.911009,103948,240.0
1683455685.7779942,104277,687.0
1683455690.7427604,104335,156.0
1683455749.3160803,104897,704.0
