Wall time,Step,Value
1682735628.2541997,168,434.0
1682735641.1773086,475,605.0
1682735643.7679327,537,537.0
1682735645.8447945,587,594.0
1682735681.6186695,1437,435.0
1682735719.4123745,2308,898.0
1682735722.8452656,2390,201.0
1682735727.1444728,2487,378.0
1682735812.546363,4493,495.0
1682735839.870753,5135,1412.0
1682735906.4137907,6712,646.0
1682735938.413817,7464,594.0
1682736014.5410693,9261,105.0
1682736023.3928664,9469,667.0
1682736063.0725572,10400,153.0
1682736084.7536225,10906,722.0
1682736087.2956474,10967,177.0
1682736129.9110389,11970,722.0
1682736228.120865,14295,105.0
1682736243.9999735,14669,249.0
1682736248.6514556,14780,257.0
1682736305.3125043,16117,297.0
1682736366.1465745,17544,594.0
1682736455.579673,19641,129.0
1682736473.2668014,20063,129.0
1682736493.3931696,20540,273.0
1682736495.0326436,20579,302.0
1682736507.1037428,20856,105.0
1682736526.6677601,21320,105.0
1682736569.3951266,22331,404.0
1682736613.5335536,23362,1372.0
1682736627.8991306,23702,302.0
1682736646.7349808,24148,81.0
1682736654.0971322,24323,129.0
1682736671.1596482,24728,201.0
1682736693.2417634,25254,434.0
1682736852.1069214,28997,153.0
1682736887.807132,29830,249.0
1682736921.8901927,30613,257.0
1682736926.0459282,30707,898.0
1682736957.2793684,31444,594.0
1682736978.638663,31937,369.0
1682736999.9781888,32436,807.0
1682737032.0588737,33182,297.0
1682737056.1400473,33750,105.0
1682737057.6568336,33786,739.0
1682737059.9828756,33840,321.0
1682737061.560136,33877,722.0
1682737089.2680657,34526,661.0
1682737149.8811622,35954,735.0
1682737179.1999412,36630,649.0
1682737180.4875603,36660,898.0
1682737227.569623,37765,393.0
1682737232.3307984,37877,594.0
1682737268.133593,38721,901.0
1682737273.241409,38841,722.0
1682737309.8658965,39703,153.0
1682737377.1749115,41272,594.0
1682737428.4801636,42469,129.0
1682737478.372673,43640,153.0
1682737481.3914576,43712,201.0
1682737493.4687395,43994,474.0
1682737502.2578523,44201,201.0
1682737504.4283657,44252,783.0
1682737534.7448082,44965,1312.0
1682737551.9174666,45373,722.0
1682737593.4939487,46335,737.0
1682737596.9510875,46414,722.0
