Wall time,Step,Value
1682863095.943785,168,297.0
1682863125.4962854,475,177.0
1682863131.45449,537,265.0
1682863136.3010983,587,743.0
1682863218.4274547,1437,898.0
1682863247.5595107,1738,105.0
1682863302.6530576,2308,201.0
1682863310.6008725,2390,603.0
1682863320.1022944,2487,722.0
1682863394.006078,3247,898.0
1682863514.733153,4493,297.0
1682863576.9773633,5135,722.0
1682863652.2335472,5908,898.0
1682863730.272543,6712,225.0
1682863755.0048535,6967,604.0
1682863803.276298,7464,242.0
1682863835.7164078,7799,490.0
1682863977.5691345,9261,225.0
1682863997.7210226,9469,129.0
1682864087.8896503,10400,249.0
1682864136.9979446,10906,898.0
1682864142.9036984,10967,177.0
1682864198.4652596,11533,58.0
1682864240.684668,11970,273.0
1682864328.6299915,12878,257.0
1682864466.0624235,14295,177.0
1682864502.336084,14669,345.0
1682864513.0473764,14780,129.0
1682864643.0519373,16117,177.0
1682864715.0837336,16858,105.0
1682864759.7746062,17318,662.0
1682864781.871692,17544,369.0
1682864985.3942666,19641,345.0
1682865026.422991,20063,540.0
1682865072.7536027,20540,493.0
1682865076.51836,20579,44.0
1682865103.561287,20856,153.0
1682865131.621343,21145,719.0
1682865148.613394,21320,58.0
1682865246.8284743,22331,840.0
1682865249.536482,22359,129.0
1682865339.8700826,23287,434.0
1682865347.1523569,23362,58.0
1682865353.589502,23428,587.0
1682865377.3325946,23671,465.0
1682865380.372941,23702,722.0
1682865424.0051992,24148,177.0
1682865441.1049917,24323,249.0
1682865480.7234097,24728,665.0
1682865532.2359855,25254,129.0
1682865895.3997052,28971,273.0
1682865897.93033,28997,257.0
1682865979.3439808,29830,594.0
1682866055.8844006,30613,562.0
1682866065.1473694,30707,434.0
1682866138.2853658,31444,500.0
1682866187.3456893,31937,693.0
1682866236.0864356,32436,594.0
1682866308.9217992,33182,722.0
1682866364.4672399,33750,262.0
1682866367.9691024,33786,603.0
1682866373.2795107,33840,242.0
1682866376.8784223,33877,225.0
1682866424.4246612,34363,369.0
1682866440.410914,34526,1110.0
1682866447.623843,34600,813.0
1682866534.1292815,35484,738.0
1682866579.9200065,35954,44.0
1682866588.1592543,36038,722.0
1682866646.0182617,36630,705.0
1682866648.9255555,36660,705.0
1682866667.6492753,36851,744.0
1682866730.3065734,37490,345.0
1682866757.270575,37765,265.0
1682866768.2273154,37877,129.0
1682866851.0230834,38721,642.0
1682866862.7313294,38841,44.0
1682866907.2937465,39297,594.0
1682866947.0498495,39703,469.0
1682867054.1569607,40794,434.0
1682867100.938384,41272,832.0
1682867185.3278575,42135,44.0
1682867218.0147076,42469,638.0
1682867333.220572,43640,707.0
1682867340.2569091,43712,58.0
1682867367.7678332,43994,594.0
1682867387.9805849,44201,638.0
1682867392.9710188,44252,547.0
1682867448.3295105,44817,636.0
1682867462.7932112,44965,201.0
1682867502.7435129,45373,668.0
1682867596.8958552,46335,58.0
1682867604.6395128,46414,153.0
1682867734.8614995,47745,898.0
1682867756.8794808,47971,762.0
1682867777.4970233,48182,738.0
1682867884.5342224,49273,593.0
1682867961.497979,50057,594.0
1682868036.1768544,50820,105.0
1682868067.324297,51135,470.0
1682868076.482788,51228,722.0
1682868132.2396884,51799,345.0
1682868240.5189629,52907,898.0
1682868258.744622,53093,721.0
1682868295.7315836,53469,722.0
1682868334.2218232,53863,673.0
1682868574.9580226,56338,471.0
1682868592.891593,56522,105.0
1682868622.0534976,56821,493.0
