Wall time,Step,Value
1682839960.2392156,168,594.0
1682839965.7163072,230,72.0
1682839987.7849884,475,485.0
1682839993.1600022,537,380.0
1682839997.5669537,587,612.0
1682840003.2961483,648,722.0
1682840068.0198157,1334,296.0
1682840072.7136397,1386,666.0
1682840077.840267,1437,722.0
1682840107.0200052,1738,891.0
1682840120.8823261,1878,156.0
1682840163.6486619,2308,370.0
1682840171.7712069,2390,898.0
1682840182.122652,2487,324.0
1682840257.9093761,3247,809.0
1682840263.7196455,3306,212.0
1682840368.2720466,4318,72.0
1682840390.718858,4493,922.0
1682840444.8506384,4972,722.0
1682840461.1664414,5135,594.0
1682840483.0553925,5346,268.0
1682840521.480031,5724,100.0
1682840540.821668,5908,754.0
1682840549.0656683,5991,594.0
1682840570.7780638,6201,324.0
1682840622.7180638,6700,520.0
1682840623.9635544,6712,594.0
1682840638.8602266,6855,594.0
1682840650.260265,6967,440.0
1682840669.6820939,7156,434.0
1682840701.385158,7464,434.0
1682840735.6667402,7799,864.0
1682840739.6602223,7834,72.0
1682840763.5132272,8067,594.0
1682840775.2540836,8181,434.0
1682840779.468656,8222,156.0
1682840808.029331,8499,156.0
1682840853.6288047,8936,408.0
1682840887.1493587,9261,100.0
1682840908.8365893,9469,212.0
1682841007.9008284,10400,722.0
1682841016.1982691,10480,1018.0
1682841060.4678457,10906,609.0
1682841066.615594,10967,48.0
1682841072.4507663,11021,594.0
1682841125.6863475,11533,722.0
1682841129.1121097,11567,48.0
1682841171.4410403,11970,48.0
1682841266.2354665,12878,268.0
1682841282.7827306,13035,128.0
1682841415.100346,14295,686.0
1682841454.041634,14669,212.0
1682841465.4625764,14780,296.0
1682841475.543694,14874,434.0
1682841537.683493,15474,48.0
1682841604.7150052,16117,212.0
1682841682.2612357,16858,594.0
1682841708.1838202,17098,408.0
1682841733.641933,17318,722.0
1682841758.8873036,17544,434.0
1682841986.200836,19532,722.0
1682841997.9962268,19641,296.0
1682842007.3519278,19732,681.0
1682880005.7259521,20063,1655.0
1682880015.1954958,20245,1375.0
1682880018.6629558,20324,128.0
1682880029.2457929,20540,733.0
1682880030.9031816,20579,100.0
1682880040.0743978,20783,436.0
1682880043.5062883,20856,688.0
1682880053.6859229,21081,1487.0
1682880056.3156466,21145,1487.0
1682880064.2571702,21320,1011.0
1682880111.5322876,22331,722.0
1682880112.7199628,22359,1431.0
1682880155.2119026,23287,660.0
1682880158.3997614,23362,898.0
1682880161.5276427,23428,904.0
1682880172.5945501,23671,660.0
1682880174.018192,23702,1403.0
1682880193.8541954,24148,1347.0
