Wall time,Step,Value
1682944142.0152066,168,704.0
1682944155.5214093,475,780.0
1682944158.0917451,537,850.0
1682944160.17393,587,842.0
1682944235.3333771,2308,705.0
1682944243.1976306,2487,898.0
1682944330.3572257,4493,392.0
1682944358.0796242,5135,594.0
1682944427.1975179,6712,479.0
1682944459.8387516,7464,675.0
1682944538.0114145,9261,145.0
1682944547.010659,9469,434.0
1682944609.3259196,10906,96.0
1682944611.8603618,10967,36.0
1682944655.1739042,11970,43.0
1682944756.9453518,14295,2.0
1682944777.802676,14780,434.0
1682944835.952922,16117,394.0
1682944990.2528667,19641,40.0
1682945008.442889,20063,722.0
1682945029.2334156,20540,343.0
1682945030.9180021,20579,485.0
1682945043.100813,20856,150.0
1682945063.007905,21320,501.0
1682945107.0863445,22331,842.0
1682945166.9462118,23702,29.0
1682945186.3193414,24148,226.0
1682945194.1086159,24323,535.0
1682945211.7990644,24728,203.0
1682945234.8247905,25254,24.0
1682945434.3284833,29830,101.0
1682945468.3612869,30613,112.0
1682945472.4031463,30707,159.0
1682945526.1579778,31937,434.0
1682945548.2316267,32436,212.0
1682945581.1242335,33182,389.0
1682945606.5903852,33750,379.0
1682945608.1363528,33786,538.0
1682945610.7748177,33840,638.0
1682945640.948963,34526,161.0
1682945703.3674378,35954,472.0
1682945732.942012,36630,378.0
1682945734.2430527,36660,410.0
1682945782.1013823,37765,594.0
1682945787.1003335,37877,771.0
1682945823.5258405,38721,548.0
1682945828.9114661,38841,816.0
1682945934.7628598,41272,218.0
1682946038.254809,43640,154.0
1682946053.358149,43994,502.0
1682946062.7258804,44201,337.0
1682946113.4220166,45373,110.0
1682946155.3249567,46335,522.0
1682946158.8932934,46414,160.0
1682946216.8641706,47745,594.0
1682946236.1904128,48182,722.0
1682946443.1757002,52907,417.0
1682946484.9331214,53863,380.0
1682946601.473237,56522,40.0
1682946697.6456826,58747,0.0
1682946760.4906902,60180,536.0
1682946773.6729653,60476,994.0
1682946846.1036494,62140,236.0
1682946912.7413027,63672,40.0
1682946949.7165804,64522,594.0
1682946998.555197,65644,115.0
1682947048.226933,66788,377.0
1682947058.6187844,67022,722.0
1682947076.7636614,67441,40.0
1682947152.580281,69186,434.0
1682947216.8298776,70657,513.0
1682947250.3023157,71429,291.0
1682947271.1083415,71907,40.0
1682947273.2233865,71958,160.0
1682947275.753269,72013,40.0
1682947319.6091,73010,40.0
1682947546.4992979,78209,436.0
1682947577.3769248,78921,160.0
1682947641.5249615,80391,722.0
1682947651.6341133,80614,40.0
1682947827.2111628,84602,512.0
1682947848.4529533,85090,512.0
1682947922.5459037,86781,722.0
1682947926.6173804,86866,722.0
1682947933.2095435,87009,40.0
1682947949.625022,87394,434.0
1682947981.7907255,88138,60.0
1682948005.1800013,88675,722.0
1682948034.2729146,89348,722.0
1682948034.9596128,89364,725.0
1682948061.6753545,89974,160.0
1682948073.4694498,90238,594.0
1682948135.327108,91648,722.0
1682948155.8134704,92121,541.0
1682948214.6096146,93472,434.0
1682948233.176145,93902,40.0
1682948297.2892318,95378,40.0
1682948301.8621492,95481,594.0
1682948337.4857497,96302,160.0
1682948432.7963257,98475,312.0
1682948494.405898,99885,40.0
1682948536.9373257,100859,722.0
1682948558.2360067,101336,722.0
1682948585.3269815,101944,595.0
1682948632.055997,103002,722.0
1682948691.1094787,104335,722.0
1682948715.8045287,104897,722.0
1682948717.0060287,104925,722.0
1682948754.7903593,105775,722.0
1682948846.3824499,107838,898.0
1682948878.4271667,108587,898.0
1682948999.0875244,111324,310.0
1682949015.6354861,111699,722.0
1682949068.1714396,112903,722.0
1682949163.999955,115097,722.0
1682949182.5427487,115519,434.0
1682949235.1559126,116712,898.0
1682949249.7173235,117048,898.0
1682949275.7354336,117636,722.0
1682949300.2911112,118191,722.0
1682949432.8961875,121193,461.0
1682949439.1892073,121333,722.0
1682949442.5266223,121404,722.0
1682949461.6696026,121836,722.0
1682949478.0881357,122206,722.0
1682949496.9152992,122635,722.0
1682949613.9278407,125291,76.0
1682949826.2520897,130072,722.0
1682949897.475728,131681,722.0
1682949906.2595372,131877,722.0
1682950016.6203835,134377,637.0
1682950017.1790335,134390,722.0
1682950021.0939388,134475,722.0
1682950039.0500917,134878,53.0
1682950072.1088035,135616,722.0
1682950118.374368,136674,898.0
1682950118.5827534,136679,898.0
1682950135.595224,137056,722.0
1682950240.548591,139404,722.0
1682950242.531799,139450,722.0
1682950265.5684633,139976,722.0
1682950269.3209007,140056,574.0
1682950300.047307,140751,722.0
1682950310.613169,140990,722.0
1682950321.20447,141223,128.0
1682950395.17253,142893,346.0
1682950454.600578,144227,722.0
1682950457.1300445,144286,722.0
1682950546.8659322,146313,312.0
1682950563.8343194,146697,722.0
1682950598.879306,147492,53.0
1682950651.1112845,148674,722.0
1682950743.5189834,150759,722.0
1682950748.3422325,150864,722.0
1682950756.1799111,151043,722.0
1682950766.6425457,151277,722.0
1682950832.4365745,152767,226.0
1682950939.3053615,155190,722.0
1682951004.538359,156653,722.0
1682951025.6355634,157131,722.0
1682951047.7916188,157624,722.0
1682951164.5042465,160253,722.0
1682951277.057985,162790,722.0
1682951299.823659,163297,305.0
1682951359.228612,164623,722.0
1682951395.6982718,165464,898.0
1682951401.3881292,165598,722.0
1682951410.8062153,165801,722.0
1682951474.852718,167235,722.0
1682951481.9697163,167397,722.0
1682951493.243744,167645,156.0
1682951567.5863428,169324,722.0
1682951596.0049887,169964,722.0
1682951606.2555785,170189,698.0
1682951671.2160487,171660,722.0
1682951671.6433356,171670,722.0
1682951729.0434365,172973,722.0
1682951734.4358525,173094,722.0
1682951754.907131,173557,434.0
1682951803.5336769,174648,722.0
1682951943.7012947,177778,525.0
1682951962.5588493,178193,722.0
1682951983.7782338,178662,722.0
1682951985.494676,178702,722.0
1682952007.1204112,179197,722.0
1682952056.927987,180316,722.0
1682952089.6480908,181050,722.0
1682952092.1743014,181109,722.0
1682952135.2454126,182088,722.0
1682952173.3973541,182950,722.0
1682952187.7488532,183272,722.0
1682952201.994578,183599,594.0
1682952267.268851,185059,722.0
1682952319.5809274,186233,722.0
1682952357.7415738,187091,160.0
1682952359.791138,187141,40.0
1682952395.5000556,187944,722.0
1682952456.5932593,189323,722.0
1682952501.725674,190339,722.0
1682952585.7648518,192216,434.0
1682952722.0838294,195298,722.0
1682952726.810997,195401,722.0
1682952736.4939575,195620,190.0
1682952785.104707,196727,722.0
1682952879.5934854,198852,722.0
1682952898.7833056,199288,722.0
1682952939.8337736,200212,40.0
1682952993.5081244,201402,898.0
1682953016.3736107,201921,722.0
1682953202.863792,206111,722.0
1682953245.1087458,207051,898.0
1682953269.7437112,207610,722.0
1682953319.858607,208749,604.0
1682953328.0962248,208935,722.0
1682953375.2274685,209989,141.0
1682953384.4742868,210192,722.0
1682953514.5972288,213100,722.0
1682953548.9777815,213868,40.0
1682953613.4992633,215331,722.0
1682953641.0898533,215954,594.0
1682953644.4238758,216024,484.0
1682953645.6779954,216053,392.0
1682953726.323925,217868,438.0
1682953799.6240103,219515,434.0
1682953815.0405593,219862,722.0
1682953833.3052206,220266,237.0
1682953878.4239876,221271,722.0
1682953979.3922527,223538,722.0
1682954037.1146638,224846,722.0
1682954100.2709353,226248,722.0
1682954104.4794233,226346,722.0
1682954104.995303,226358,722.0
1682954152.716658,227412,473.0
1682954186.6996632,228172,722.0
1682954204.933766,228584,722.0
1682954205.0619304,228587,722.0
1682954236.505522,229291,722.0
1682954314.1461902,231024,722.0
1682954359.6941392,232061,722.0
1682954437.450903,233810,898.0
1682954486.1585877,234918,722.0
1682954499.4482572,235216,722.0
1682954625.5125284,238048,722.0
1682954650.7626593,238616,722.0
1682954682.7681963,239339,722.0
1682954716.5753262,240095,436.0
1682954780.474586,241532,722.0
1682954785.0250013,241630,722.0
1682954804.4887938,242065,722.0
1682954816.6928878,242342,722.0
1682954930.9879315,244901,722.0
1682954982.5303757,246051,898.0
1682955046.4392595,247508,156.0
1682955111.1641123,248961,722.0
1682955143.0291076,249677,898.0
1682955158.260058,250025,472.0
1682955195.6681137,250870,722.0
1682955215.5797844,251320,436.0
1682955236.4614642,251797,898.0
1682955248.8432665,252067,722.0
1682955310.2336311,253440,722.0
1682955353.9189942,254423,249.0
1682955361.7142377,254602,143.0
1682955466.290537,256946,722.0
1682955522.4401944,258208,722.0
1682955528.6917703,258351,722.0
1682955562.833266,259112,722.0
1682955645.1910937,260954,722.0
1682955715.233953,262513,722.0
1682955718.9999893,262599,594.0
1682955730.7404606,262854,722.0
1682955779.0417345,263948,898.0
1682955790.9294636,264213,722.0
1682955824.2406867,264961,722.0
1682955838.2776954,265273,722.0
1682955853.0971107,265602,722.0
1682955857.0777411,265695,722.0
1682955955.0088387,267898,434.0
1682955990.527574,268688,594.0
1682956074.8313525,270594,722.0
1682956087.1357381,270862,722.0
1682956095.5178027,271053,534.0
1682956140.7763662,272074,722.0
1682956152.7248054,272345,394.0
1682956170.8369076,272752,722.0
1682956179.2550187,272939,722.0
1682956289.7836497,275403,434.0
1682956294.9631827,275527,586.0
1682956379.947974,277440,722.0
1682956443.9440625,278880,722.0
1682956451.4618895,279049,40.0
1682956470.8480327,279482,722.0
1682956533.7337284,280905,363.0
1682956550.0757992,281278,898.0
1682956610.7643561,282651,722.0
1682956658.3303802,283707,722.0
1682956684.2758243,284304,310.0
1682956710.2591252,284887,722.0
1682956738.3736672,285538,898.0
1682956809.452871,287144,722.0
1682956881.3779626,288761,722.0
1682956908.6028743,289365,722.0
1682956973.177553,290817,722.0
1682957107.101283,293827,722.0
1682957115.2186098,294002,40.0
1682957178.212767,295409,722.0
1682957185.221391,295574,722.0
1682957243.4846103,296882,722.0
1682957309.2751834,298352,722.0
1682957345.5767922,299169,898.0
1682957359.8100553,299486,722.0
1682957419.6222432,300834,898.0
1682957464.9771788,301830,722.0
1682957491.7226367,302432,722.0
1682957494.4936595,302495,722.0
1682957562.227456,304024,189.0
1682957757.5386066,308412,473.0
1682957777.061009,308856,898.0
1682957784.0752532,309010,898.0
1682957816.0358057,309748,303.0
1682957823.544725,309917,898.0
1682957824.7117333,309945,1302.0
1682957900.284793,311640,722.0
1682957949.2303805,312756,898.0
1682958017.020535,314292,281.0
1682958055.6341977,315170,479.0
1682958180.4900663,318007,898.0
1682958198.3036442,318410,333.0
1682958216.8411393,318829,898.0
1682958228.9164426,319112,267.0
1682958243.3709867,319436,93.0
1682958265.4821768,319942,722.0
1682958280.4103055,320283,73.0
1682958305.648697,320859,898.0
1682958328.4302497,321384,722.0
1682958372.3972645,322389,434.0
1682958401.6297722,323050,722.0
1682958456.5833964,324305,594.0
1682958473.7710595,324690,898.0
1682958490.2050688,325063,898.0
1682958665.629074,329051,898.0
1682958709.5734437,330048,137.0
1682958721.7879267,330332,898.0
1682958749.5457857,330970,722.0
1682958779.126932,331639,324.0
1682958792.796959,331950,898.0
1682958793.9097228,331977,226.0
1682958850.6877174,333258,898.0
1682958903.7633004,334449,874.0
